asset_id,tier,site_id,catalog_tif_name,catalog_gpkg_name,catalog_resolution_m,tif_url,tif_http_status,tif_remote_size_bytes,tif_check_error,gpkg_url,gpkg_http_status,gpkg_remote_size_bytes,gpkg_check_error,expected_local_tif,exact_tif_present,exact_tif_size_bytes,expected_local_gpkg,exact_gpkg_present,exact_gpkg_size_bytes,same_event_local_tifs,same_event_local_gpkgs,local_status,actionable_missing_tif
Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_BM,Tier_1,AI_20110412_965145W472341N,AI_0_5m_20110412_965145W472341N_BM.tif,AI_0_5m_20110412_965145W472341N_AOI.gpkg,0.5,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_BM.tif,200,161941262,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20110412_965145W472341N/AI_0_5m_20110412_965145W472341N_AOI.gpkg,False,,,,missing,True
Tier_1/AI_20110414_970623W475915N/AI_0_5m_20110414_970623W475915N_BM,Tier_1,AI_20110414_970623W475915N,AI_0_5m_20110414_970623W475915N_BM.tif,AI_0_5m_20110414_970623W475915N_AOI.gpkg,0.5,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20110414_970623W475915N/AI_0_5m_20110414_970623W475915N_BM.tif,200,54698469,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20110414_970623W475915N/AI_0_5m_20110414_970623W475915N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20110414_970623W475915N/AI_0_5m_20110414_970623W475915N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20110414_970623W475915N/AI_0_5m_20110414_970623W475915N_AOI.gpkg,False,,,,missing,True
Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM,Tier_1,AI_20160103_912407W345941N,AI_0_5m_20160103T4_912407W345941N_BM.tif,AI_0_5m_20160103T4_912407W345941N_AOI.gpkg,0.5,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM.tif,200,532388857,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_912407W345941N/AI_0_5m_20160103T4_912407W345941N_AOI.gpkg,False,,,,missing,True
Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM,Tier_1,AI_20160103_915444W341929N,AI_0_4m_20160103T2_915444W341929N_BM.tif,AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,0.4,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif,200,321435210,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_BM.tif,True,321435210,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_915444W341929N/AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,True,33193984,AI_0_4m_20160103T2_915444W341929N_BM.tif,AI_0_4m_20160103T2_915444W341929N_AOI.gpkg,complete_exact,False
Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM,Tier_1,AI_20160103_923809W350109N,AI_0_4m_20160103_923809W350109N_BM.tif,AI_0_4m_20160103_923809W350109N_AOI.gpkg,0.4,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif,404,,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_AOI.gpkg,404,,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_BM.tif,True,337301251,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160103_923809W350109N/AI_0_4m_20160103_923809W350109N_AOI.gpkg,True,14139392,AI_0_4m_20160103_923809W350109N_BM.tif,AI_0_4m_20160103_923809W350109N_AOI.gpkg,complete_exact,False
Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_BM,Tier_1,AI_20160104_902358W395729N,AI_0_4m_20160104T1_902358W395729N_BM.tif,AI_0_4m_20160104T1_902358W395729N_AOI.gpkg,0.4,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_BM.tif,404,,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_AOI.gpkg,404,,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20160104_902358W395729N/AI_0_4m_20160104T1_902358W395729N_AOI.gpkg,False,,AI_0_4m_20160104_902358W395729N_BM.tif,AI_0_4m_20160104_902358W395729N_AOI.gpkg,same_event_filename_mismatch,False
Tier_1/AI_20170831T1_953124W295936N/AI_0_3m_20170831T1_953124W295936N_BM,Tier_1,AI_20170831T1_953124W295936N,AI_0_3m_20170831T1_953124W295936N_BM.tif,AI_0_3m_20170831T1_953124W295936N_AOI.gpkg,0.3,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170831T1_953124W295936N/AI_0_3m_20170831T1_953124W295936N_BM.tif,200,560416493,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170831T1_953124W295936N/AI_0_3m_20170831T1_953124W295936N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170831T1_953124W295936N/AI_0_3m_20170831T1_953124W295936N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170831T1_953124W295936N/AI_0_3m_20170831T1_953124W295936N_AOI.gpkg,False,,,,missing,True
Tier_1/AI_20170831_953259W294459N/AI_0_3m_20170831_953259W294459N_BM,Tier_1,AI_20170831_953259W294459N,AI_0_3m_20170831_953259W294459N_BM.tif,AI_0_3m_20170831_953259W294459N_AOI.gpkg,0.3,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170831_953259W294459N/AI_0_3m_20170831_953259W294459N_BM.tif,200,14999162,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170831_953259W294459N/AI_0_3m_20170831_953259W294459N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170831_953259W294459N/AI_0_3m_20170831_953259W294459N_BM.tif,True,14999162,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170831_953259W294459N/AI_0_3m_20170831_953259W294459N_AOI.gpkg,True,118784,AI_0_3m_20170831_953259W294459N_BM.tif,AI_0_3m_20170831_953259W294459N_AOI.gpkg,complete_exact,False
Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM,Tier_1,AI_20170903_953036W293058N,AI_0_3m_20170903_953036W293058N_BM.tif,AI_0_3m_20170903_953036W293058N_AOI.gpkg,0.3,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM.tif,200,468069678,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_BM.tif,False,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20170903_953036W293058N/AI_0_3m_20170903_953036W293058N_AOI.gpkg,False,,,,missing,True
Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_BM,Tier_1,AI_20250412_854320W381510N,AI_0_2m_20250412_854320W381510N_BM.tif,AI_0_2m_20250412_854320W381510N_AOI.gpkg,0.2,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_BM.tif,200,520862276,,https://sdmlab.s3.amazonaws.com/FIM_Database/Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_AOI.gpkg,200,98304,,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_BM.tif,True,520862276,/home/cefect/LS/10_IO/2501_NSFc/FIM_Bench/fetch/Tier_1/AI_20250412_854320W381510N/AI_0_2m_20250412_854320W381510N_AOI.gpkg,True,6422528,AI_0_2m_20250412_854320W381510N_BM.tif,AI_0_2m_20250412_854320W381510N_AOI.gpkg,complete_exact,False
